12 Years a Slave,2013,R,2h 14min,History",8.1
Persona,1966,NOT RATED,1h 23min,Thriller",8.1
The Grand Budapest Hotel,2014,R,1h 39min,Crime",8.1
Amores Perros,2000,R,2h 34min,Thriller",8.1
Million Dollar Baby,2004,PG-13,2h 12min,Sport",8.1
The Princess Bride,1987,PG,1h 38min,Fantasy",8.1
Relatos salvajes,2014,R,2h 2min,Thriller",8.1
Ben-Hur,1959,G,3h 32min,History",8.1
Touch of Evil,1958,PG-13,1h 35min,Film-Noir",8.1
Hachi: A Dog's Tale,2009,G,1h 33min,Family",8.1
Deadpool,2016,R,1h 48min,Comedy",8.1
Jurassic Park,1993,PG-13,2h 7min,Thriller",8.1
Nausicaä of the Valley of the Wind,1984,PG,1h 57min,Fantasy",8.1
Annie Hall,1977,PG,1h 33min,Romance",8.1
The Grapes of Wrath,1940,NOT RATED,2h 9min,Drama",8.1
Stalker,1979,NOT RATED,2h 43min,Sci-Fi",8.1
Before Sunrise,1995,R,1h 45min,Romance",8.1
Gandhi,1982,PG,3h 11min,History",8.1
The Bourne Ultimatum,2007,PG-13,1h 55min,Thriller",8.1
Diabolique,1955,UNRATED,1h 56min,Mystery",8.1
The Truman Show,1998,PG,1h 43min,Sci-Fi",8.1
Memories of Murder,2003,UNRATED,2h 12min,Mystery",8.1
The Revenant,2015,R,2h 36min,Thriller",8.1
Donnie Darko,2001,R,1h 53min,Thriller",8.1
Rocky,1976,PG,2h,Sport",8.1
8½,1963,NOT RATED,2h 18min,Fantasy",8.1
The Wizard of Oz,1939,PASSED,1h 42min,Fantasy",8.1
"Monsters, Inc.",2001,G,1h 32min,Comedy",8.1
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10min,Fantasy",8.1
The Terminator,1984,R,1h 47min,Sci-Fi",8.1
Twelve Monkeys,1995,R,2h 9min,Thriller",8.1
The Best Years of Our Lives,1946,NOT RATED,2h 52min,War",8.1
Groundhog Day,1993,PG,1h 41min,Romance",8.1
Strangers on a Train,1951,PG,1h 41min,Thriller",8.1
Sin City,2005,R,2h 4min,Thriller",8.1
Kind Hearts and Coronets,1949,NOT RATED,1h 46min,Crime",8.2
Infernal Affairs,2002,R,1h 41min,Mystery",8.1
Jaws,1975,PG,2h 4min,Thriller",8.0
La Haine,1995,NOT RATED,1h 38min,Drama",8.1
Prisoners,2013,R,2h 33min,Mystery",8.1
Barry Lyndon,1975,PG,3h 4min,History",8.1
The Battle of Algiers,1966,NOT RATED,2h 1min,War",8.1
Dog Day Afternoon,1975,R,2h 5min,Drama",8.0
The Martian,2015,PG-13,2h 24min,Sci-Fi",8.1
Catch Me If You Can,2002,PG-13,2h 21min,Drama",8.0
Yip Man,2008,R,1h 46min,Drama",8.1
The Imitation Game,2014,PG-13,1h 54min,Thriller",8.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23min,Fantasy",8.1
The Help,2011,PG-13,2h 26min,Drama",8.1
Fanny and Alexander,1982,R,3h 8min,Drama",8.1
The Avengers,2012,PG-13,2h 23min,Sci-Fi",8.1
Guardians of the Galaxy,2014,PG-13,2h 1min,Sci-Fi",8.1
A Fistful of Dollars,1964,R,1h 39min,Western",8.0
The King's Speech,2010,R,1h 58min,History",8.0
Castle in the Sky,1986,PG,2h 5min,Family",8.1
Roman Holiday,1953,NOT RATED,1h 58min,Romance",8.1
Throne of Blood,1957,UNRATED,1h 50min,Drama",8.1
High Noon,1952,PG,1h 25min,Western",8.1
Beauty and the Beast,1991,G,1h 24min,Fantasy",8.0
Gangs of Wasseypur,2012,2012-08-02,5h 20min,Drama",8.3
In the Mood for Love,2000,PG,1h 38min,Romance",8.1
PK,2014,2014-12-19,2h 33min,Romance",8.3
